date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:46:14	1053/1053	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Apr%202020%2000:46:13%20GMT	http://localhost/robots.txt		(from )
19:46:14	19112/19112	---MC-	200	added ('OK')	text/html	date:Mon,%2013%20Apr%202020%2000:46:13%20GMT	http://localhost/prueba01/	C:/Users/LUIS/Documents/web%20HTRACK/WORDPRESS/localhost/prueba01/index.html	(from )
19:46:14	53489/53489	---M--	200	added ('OK')	text/css	etag:%22d0f1-5a24872334c90%22	http://localhost/prueba01/wp-includes/css/dist/block-library/style.min.css?ver=5.4	C:/Users/LUIS/Documents/web%20HTRACK/WORDPRESS/localhost/prueba01/wp-includes/css/dist/block-library/style.min91d5.css	(from http://localhost/prueba01/)
19:46:16	1733/1733	---M--	200	added ('OK')	application/rss+xml	etag:%22248c98338acba7197b4525beaaa5d4ad%22	http://localhost/prueba01/feed/	C:/Users/LUIS/Documents/web%20HTRACK/WORDPRESS/localhost/prueba01/feed/index.html	(from http://localhost/prueba01/)
19:46:16	1740/1740	---M--	200	added ('OK')	application/rss+xml	etag:%2284d870b073740184fd5a480d75f87f06%22	http://localhost/prueba01/comments/feed/	C:/Users/LUIS/Documents/web%20HTRACK/WORDPRESS/localhost/prueba01/comments/feed/index.html	(from http://localhost/prueba01/)
19:46:16	6619/6619	---M--	200	added ('OK')	text/css	etag:%2219db-5a2492bbfb2ee%22	http://localhost/prueba01/wp-content/themes/hello-elementor/style.min.css?ver=2.2.0	C:/Users/LUIS/Documents/web%20HTRACK/WORDPRESS/localhost/prueba01/wp-content/themes/hello-elementor/style.min3601.css	(from http://localhost/prueba01/)
19:46:16	754/754	---M--	200	added ('OK')	application/rss+xml	etag:%2284d870b073740184fd5a480d75f87f06%22	http://localhost/prueba01/pagina-ejemplo/feed/	C:/Users/LUIS/Documents/web%20HTRACK/WORDPRESS/localhost/prueba01/pagina-ejemplo/feed/index.html	(from http://localhost/prueba01/)
19:46:16	5249/5249	---M--	200	added ('OK')	text/css	etag:%221481-5a2492bbfd83b%22	http://localhost/prueba01/wp-content/themes/hello-elementor/theme.min.css?ver=2.2.0	C:/Users/LUIS/Documents/web%20HTRACK/WORDPRESS/localhost/prueba01/wp-content/themes/hello-elementor/theme.min3601.css	(from http://localhost/prueba01/)
19:46:16	15998/15998	---M--	200	added ('OK')	text/css	etag:%223e7e-5a248c24d9d88%22	http://localhost/prueba01/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.6.2	C:/Users/LUIS/Documents/web%20HTRACK/WORDPRESS/localhost/prueba01/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min4c7e.css	(from http://localhost/prueba01/)
19:46:17	18468/18468	---M--	200	added ('OK')	text/css	etag:%224824-5a248c24d1caa%22	http://localhost/prueba01/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=2.9.7	C:/Users/LUIS/Documents/web%20HTRACK/WORDPRESS/localhost/prueba01/wp-content/plugins/elementor/assets/lib/animations/animations.minc867.css	(from http://localhost/prueba01/)
19:46:18	109976/109976	---M--	200	added ('OK')	text/css	etag:%221ad98-5a248c24ab2a1%22	http://localhost/prueba01/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=2.9.7	C:/Users/LUIS/Documents/web%20HTRACK/WORDPRESS/localhost/prueba01/wp-content/plugins/elementor/assets/css/frontend.minc867.css	(from http://localhost/prueba01/)
19:46:20	205057/205057	---M--	200	added ('OK')	text/css	etag:%2232101-5a2841db5202f%22	http://localhost/prueba01/wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=2.9.1	C:/Users/LUIS/Documents/web%20HTRACK/WORDPRESS/localhost/prueba01/wp-content/plugins/elementor-pro/assets/css/frontend.minbf47.css	(from http://localhost/prueba01/)
19:46:22	1146/1146	---M--	200	added ('OK')	text/css	etag:%2247a-5a2843a1e64d2%22	http://localhost/prueba01/wp-content/plugins/sticky-header-effects-for-elementor/assets/css/she-header-style.css?ver=1.3.2	C:/Users/LUIS/Documents/web%20HTRACK/WORDPRESS/localhost/prueba01/wp-content/plugins/sticky-header-effects-for-elementor/assets/css/she-header-style9e1e.css	(from http://localhost/prueba01/)
19:46:22	20177/20177	---M--	200	added ('OK')	text/css	etag:%224ed1-5a2fd3b229bea%22	http://localhost/prueba01/wp-content/uploads/elementor/css/global.css?ver=1586583386	C:/Users/LUIS/Documents/web%20HTRACK/WORDPRESS/localhost/prueba01/wp-content/uploads/elementor/css/global69ad.css	(from http://localhost/prueba01/)
19:46:23	1098/1098	---M--	200	added ('OK')	text/css	etag:%2244a-5a2ff4c49423a%22	http://localhost/prueba01/wp-content/uploads/elementor/css/post-2.css?ver=1586592263	C:/Users/LUIS/Documents/web%20HTRACK/WORDPRESS/localhost/prueba01/wp-content/uploads/elementor/css/post-2686a.css	(from http://localhost/prueba01/)
19:46:23	1156/1156	---M--	200	added ('OK')	text/css	etag:%22484-5a31926c8dd0c%22	http://localhost/prueba01/wp-content/uploads/elementor/css/post-24.css?ver=1586703303	C:/Users/LUIS/Documents/web%20HTRACK/WORDPRESS/localhost/prueba01/wp-content/uploads/elementor/css/post-249930.css	(from http://localhost/prueba01/)
19:46:24	816/816	---M--	200	added ('OK')	text/xml	date:Mon,%2013%20Apr%202020%2000:46:24%20GMT	http://localhost/prueba01/xmlrpc.php?rsd	C:/Users/LUIS/Documents/web%20HTRACK/WORDPRESS/localhost/prueba01/xmlrpc0db0.php	(from http://localhost/prueba01/)
19:46:24	5905/5905	---M--	200	added ('OK')	application/javascript	etag:%221711-5a2843a1f7ded%22	http://localhost/prueba01/wp-content/plugins/sticky-header-effects-for-elementor/assets/js/she-header.js?ver=1.3.2	C:/Users/LUIS/Documents/web%20HTRACK/WORDPRESS/localhost/prueba01/wp-content/plugins/sticky-header-effects-for-elementor/assets/js/she-header9e1e.js	(from http://localhost/prueba01/)
19:46:25	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-5a2487187f674%22	http://localhost/prueba01/wp-includes/wlwmanifest.xml	C:/Users/LUIS/Documents/web%20HTRACK/WORDPRESS/localhost/prueba01/wp-includes/wlwmanifest.xml	(from http://localhost/prueba01/)
19:46:25	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%222748-5a24871e0495e%22	http://localhost/prueba01/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/LUIS/Documents/web%20HTRACK/WORDPRESS/localhost/prueba01/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://localhost/prueba01/)
